ASSETS_NAME,MARKET_ID,METADATA_ID,IS_ACTIVE,CREATED_AT,UPDATED_AT,ASSETS_ID
AUDCAD,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,0
AUDCHF,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,1
AUDJPY,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,2
AUDNZD,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,3
AUDUSD,0,0,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,4
CADCHF,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,5
CADJPY,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,6
CHFJPY,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,7
EURAUD,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,8
EURCAD,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,9
EURCHF,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,10
EURGBP,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,11
EURJPY,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,12
EURMXN,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,13
EURNOK,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,14
EURNZD,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,15
EURSEK,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,16
EURTRY,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,17
EURUSD,0,0,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,18
GBPAUD,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,19
GBPCAD,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,20
GBPCHF,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,21
GBPJPY,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,22
GBPMXN,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,23
GBPNOK,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,24
GBPNZD,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,25
GBPSEK,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,26
GBPTRY,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,27
GBPUSD,0,0,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,28
NZDCAD,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,29
NZDCHF,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,30
NZDJPY,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,31
NZDUSD,0,0,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,32
USDCAD,0,0,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,33
USDCHF,0,0,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,34
USDJPY,0,0,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,35
USDMXN,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,36
USDNOK,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,37
USDSEK,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,38
USDSGD,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,39
USDTRY,0,1,Y,2024-12-30 21:41:28.941030,2024-12-30 21:41:28.942034,40
AUS200,2,7,Y,2024-12-30 21:41:28.943125,2024-12-30 21:41:28.944129,41
FCHI40,2,8,Y,2024-12-30 21:41:28.943125,2024-12-30 21:41:28.944129,42
NDX,2,6,Y,2024-12-30 21:41:28.943125,2024-12-30 21:41:28.944129,43
STOXX50E,2,8,Y,2024-12-30 21:41:28.943125,2024-12-30 21:41:28.944129,44
UK100,2,8,Y,2024-12-30 21:41:28.943125,2024-12-30 21:41:28.944129,45
WS30,2,6,Y,2024-12-30 21:41:28.943125,2024-12-30 21:41:28.944129,46
GDAXI,2,8,Y,2024-12-30 21:41:28.943125,2024-12-30 21:41:28.944129,47
SPA35,2,8,Y,2024-12-30 21:41:28.943125,2024-12-30 21:41:28.944129,48
NI225,2,7,Y,2024-12-30 21:41:28.943125,2024-12-30 21:41:28.944129,49
SP500,2,6,Y,2024-12-30 21:41:28.943125,2024-12-30 21:41:28.944129,50
A,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,51
AA,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,52
AAP,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,53
ABBV,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,54
AAL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,55
ACHC,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,56
ABT,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,57
ACM,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,58
ACN,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,59
ADM,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,60
AEP,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,61
AES,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,62
AFG,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,63
AFL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,64
AGCO,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,65
AIG,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,66
AIZ,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,67
AJG,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,68
ADBE,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,69
ADI,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,70
ADP,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,71
ADSK,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,72
AKAM,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,73
AL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,74
ALB,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,75
ALGN,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,76
ALK,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,77
ALL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,78
ALLY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,79
ALNY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,80
AME,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,81
AMAT,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,82
AMD,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,83
AMED,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,84
AMG,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,85
AMGN,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,86
AMKR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,87
AMP,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,88
AMT,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,89
AN,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,90
ANET,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,91
AMZN,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,92
ANSS,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,93
AON,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,94
AOS,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,95
APA,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,96
APD,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,97
APH,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,98
APLS,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,99
ARCC,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,100
ARES,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,101
ARMK,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,102
ARW,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,103
ARWR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,104
ASH,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,105
AVTR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,106
AVY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,107
AWI,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,108
AWK,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,109
AVGO,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,110
AXON,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,111
AXTA,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,112
AYI,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,113
AZO,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,114
COR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,115
BAC,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,116
BAH,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,117
BALL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,118
BAX,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,119
BBY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,120
BC,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,121
BDX,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,122
BEN,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,123
BERY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,124
BFAM,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,125
BILL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,126
BIO,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,127
BJ,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,128
BK,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,129
BKR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,130
BLD,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,131
BLK,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,132
BMY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,133
BR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,134
BRKb,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,135
BRO,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,136
BSX,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,137
BURL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,138
BWA,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,139
BX,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,140
BYD,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,141
C,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,142
CABO,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,143
CACI,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,144
CAG,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,145
CAH,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,146
CARR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,147
CB,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,148
CBRE,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,149
CC,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,150
CCI,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,151
CCK,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,152
CCL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,153
CE,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,154
CF,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,155
CFG,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,156
CFR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,157
CHD,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,158
CHE,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,159
CHGG,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,160
CHWY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,161
CI,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,162
CIEN,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,163
CL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,164
CLF,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,165
CLX,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,166
CMA,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,167
CMG,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,168
CMI,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,169
CMS,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,170
CNC,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,171
CNP,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,172
COF,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,173
COHR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,174
COO,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,175
COP,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,176
COTY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,177
CPAY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,178
CRL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,179
CRM,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,180
CSL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,181
CTVA,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,182
CVNA,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,183
CVS,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,184
D,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,185
DAL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,186
DAR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,187
DAY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,188
AZPN,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,189
AZTA,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,190
BIIB,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,191
BKNG,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,192
BL,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,193
BLDR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,194
BMRN,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,195
BPMC,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,196
BRKR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,197
CACC,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,198
CAR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,199
CASY,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,200
CDNS,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,201
CDW,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,202
CG,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,203
CGNX,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,204
CHDN,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,205
CHRW,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,206
CHTR,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,207
CHX,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,208
CINF,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,209
CMCSA,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,210
CME,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,211
COLM,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,212
COST,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,213
CPRT,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,214
CROX,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,215
CRWD,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,216
CSGP,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,217
CSX,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,218
CTAS,4,29,Y,2024-12-30 21:41:28.944129,2024-12-30 21:41:28.944129,219
