MARGIN,MIN_SIZE,CONTRACT_SIZE,PIP_VALUE,SWAP_LONG,SWAP_SHORT,COMISSION_PER_ORDEN,TICK_VALUE,archivo
20.00%,1.0,1 COIN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 COLM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 COO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 COST,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CPRT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CROX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CRWD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CSCO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CSGP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CSX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CTAS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CTSH,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DBX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DDOG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DLTR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DNLI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DOCU,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DOX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DPZ,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DXCM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EBAY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EEFT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ENPH,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ENTG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ETSY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EVRG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
100.00%,1.0,1 EWBC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EXC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EXEL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EXPE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EXPI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FANG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FAST,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FFIV,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
50.00%,1.0,1 FITB,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FIVE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FIVN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FLEX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FOX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FOXA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FOXF,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FRPT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FSLR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FTNT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GEN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GH,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GILD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GNTX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GOOG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GOOGL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 HALO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 HAS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 HBAN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 HELE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 HOLX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 HQY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 HSIC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 IBKR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 IDXX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ILMN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 INCY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 INTC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 INTU,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 IONS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 IPGP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 IRDM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ISRG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 JBHT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 JBLU,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 JKHY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 KDP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 KHC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 KLAC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 LAZR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 LITE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 LKQ,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 LNT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 LNW,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 LPLA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 LRCX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 LSCC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 LSTR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 LYFT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MANH,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MAR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MASI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MAT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MCHP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MDB,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MDLZ,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MEDP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 META,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MIDD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MKSI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MKTX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MNST,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MPWR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MRNA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MRVL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MSFT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MSTR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 MU,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NBIX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NDAQ,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NDSN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NFLX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NTAP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NTLA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NTNX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NTRS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NVDA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NWL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NWSA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 NXST,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ODFL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 OKTA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 OLED,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 OLLI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 OMCL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ON,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ORLY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 OZK,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PANW,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PARA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PAYX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PCAR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PCTY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PEGA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PENN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PEP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PFG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PGNY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
50.00%,1.0,1 PNFP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PODD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 POOL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PTC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PTON,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 PYPL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 QCOM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 QRVO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 RARE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 REGN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 RGEN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 RGLD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ROKU,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ROP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ROST,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 RRR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 RUN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 SAIA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 SAIC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 SBUX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 SLAB,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 SLM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 SNPS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 SRPT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 SSNC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 STLD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 SWKS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 SYNA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TECH,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TER,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TMUS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TNDM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TRIP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TRMB,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TROW,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TSCO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TSLA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TTD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TTEK,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TTWO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TXG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TXN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 TXRH,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 UAL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ULTA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 UTHR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 VIR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 VIRT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 VRNS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 VRSK,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 VRSN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 VRTX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 VTRS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 WBA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 WDAY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 WDC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 WWD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 WYNN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 XEL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 XRAY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ZBRA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ZD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ZG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ZI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
100.00%,1.0,1 ZION,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ZM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ZS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
