0,1,2,3,4,5,6,7,8,9,10,12
AAXJ,iShares MSCI All Country Asia,20.00%,1.00,1 AAXJ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
ARKG,ARK Genomic Revolution ETF,20.00%,1.00,1 ARKG,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
ARKK,ARK Innovation ETF,20.00%,1.00,1 ARKK,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
ARKW,ARK Next Generation Internet E,20.00%,1.00,1 ARKW,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
DGRO,iShares Core Dividend Growth E,20.00%,1.00,1 DGRO,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
DIA,SPDR Dow Jones Industrial Aver,20.00%,1.00,1 DIA,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
DVY,iShares Select Dividend ETF,20.00%,1.00,1 DVY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EEM,iShares MSCI Emerging Markets,20.00%,1.00,1 EEM,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EFA,iShares MSCI EAFE ETF,20.00%,1.00,1 EFA,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EFAV,iShares MSCI EAFE Min Vol Fact,20.00%,1.00,1 EFAV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EFG,iShares MSCI EAFE Growth ETF,20.00%,1.00,1 EFG,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EFV,iShares MSCI EAFE Value ETF,20.00%,1.00,1 EFV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EMB,iShares JP Morgan USD Emerging,20.00%,1.00,1 EMB,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
ESGU,iShares ESG Aware MSCI USA ETF,20.00%,1.00,1 ESGU,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EWJ,iShares MSCI Japan ETF,20.00%,1.00,1 EWJ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EWT,iShares MSCI Taiwan ETF,20.00%,1.00,1 EWT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EWY,iShares MSCI South Korea ETF,20.00%,1.00,1 EWY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EWZ,iShares MSCI Brazil ETF,20.00%,1.00,1 EWZ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
EZU,iShares MSCI Eurozone ETF,20.00%,1.00,1 EZU,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
FDN,First Trust Dow Jones Internet,20.00%,1.00,1 FDN,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
FTEC,Fidelity MSCI Information Tech,20.00%,1.00,1 FTEC,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
FVD,First Trust Value Line Dividen,20.00%,1.00,1 FVD,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
GDX,VanEck Vectors Gold Miners ETF,20.00%,1.00,1 GDX,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
GDXJ,VanEck Vectors Junior Gold Min,20.00%,1.00,1 GDXJ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
GLD,SPDR Gold Shares,30.00%,1.00,1 GLD,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
GSLC,Goldman Sachs ActiveBeta U.S.,20.00%,1.00,1 GSLC,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
HDV,iShares Core High Dividend ETF,20.00%,1.00,1 HDV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IBB,iShares Nasdaq Biotechnology E,20.00%,1.00,1 IBB,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
ICLN,iShares Global Clean Energy ET,20.00%,1.00,1 ICLN,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IGV,iShares Expanded Tech-Software,20.00%,1.00,1 IGV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IHI,iShares U.S. Medical Devices E,20.00%,1.00,1 IHI,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IJH,iShares Core S&P Mid-Cap ETF,20.00%,1.00,1 IJH,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IJR,iShares Core S&P Small-Cap ETF,20.00%,1.00,1 IJR,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IJS,iShares S&P Small-Cap 600 Valu,20.00%,1.00,1 IJS,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
INDA,iShares MSCI India ETF,20.00%,1.00,1 INDA,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
ITOT,iShares Core S&P Total US Stoc,20.00%,1.00,1 ITOT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IUSG,iShares Core S&P U.S. Growth E,20.00%,1.00,1 IUSG,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IUSV,iShares Core S&P U.S. Value ET,20.00%,1.00,1 IUSV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IVE,iShares S&P 500 Value ETF,20.00%,1.00,1 IVE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IVW,iShares S&P 500 Growth ETF,20.00%,1.00,1 IVW,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IWB,iShares Russell 1000 ETF,20.00%,1.00,1 IWB,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IWD,iShares Russell 1000 Value ETF,20.00%,1.00,1 IWD,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IWF,iShares Russell 1000 Growth ET,20.00%,1.00,1 IWF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IWM,iShares Russell 2000 ETF,20.00%,1.00,1 IWM,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IWN,iShares Russell 2000 Value ETF,20.00%,1.00,1 IWN,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IWO,iShares Russell 2000 Growth ET,20.00%,1.00,1 IWO,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IWS,iShares Russell Mid-Cap Value,20.00%,1.00,1 IWS,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IYR,iShares U.S. Real Estate ETF,20.00%,1.00,1 IYR,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
IYW,iShares US Technology ETF,20.00%,1.00,1 IYW,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
KRE,SPDR S&P Regional Banking ETF,100.00%,1.00,1 KRE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
MCHI,iShares MSCI China ETF,20.00%,1.00,1 MCHI,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
MDY,SPDR S&P MidCap 400 ETF Trust,20.00%,1.00,1 MDY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
MTUM,iShares MSCI USA Momentum Fact,20.00%,1.00,1 MTUM,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
OEF,iShares S&P 100 ETF,20.00%,1.00,1 OEF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
PFF,iShares Preferred & Income Sec,20.00%,1.00,1 PFF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
QQQ,Invesco QQQ Trust Series 1,20.00%,1.00,1 QQQ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
QUAL,iShares MSCI USA Quality Facto,20.00%,1.00,1 QUAL,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
RSP,Invesco S&P 500 Equal Weight E,20.00%,1.00,1 RSP,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SCHB,Schwab US Broad Market ETF,20.00%,1.00,1 SCHB,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SCHD,Schwab US Dividend Equity ETF,20.00%,1.00,1 SCHD,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SCHF,Schwab International Equity ET,20.00%,1.00,1 SCHF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SCHG,Schwab U.S. Large-Cap Growth E,20.00%,1.00,1 SCHG,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SCHV,Schwab U.S. Large-Cap Value ET,20.00%,1.00,1 SCHV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SCZ,iShares MSCI EAFE Small-Cap ET,20.00%,1.00,1 SCZ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SKYY,First Trust Cloud Computing ET,20.00%,1.00,1 SKYY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SLV,iShares Silver Trust,20.00%,1.00,1 SLV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SMH,VanEck Vectors Semiconductor E,20.00%,1.00,1 SMH,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SOXX,iShares PHLX Semiconductor ETF,20.00%,1.00,1 SOXX,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SPDW,SPDR Portfolio Developed World,20.00%,1.00,1 SPDW,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SPLV,Invesco S&P 500 Low Volatility,20.00%,1.00,1 SPLV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SPY,SPDR S&P 500 ETF Trust,20.00%,1.00,1 SPY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SPYG,SPDR Portfolio S&P 500 Growth,20.00%,1.00,1 SPYG,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
SPYV,SPDR Portfolio S&P 500 Value E,20.00%,1.00,1 SPYV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
TIP,iShares TIPS Bond ETF,20.00%,1.00,1 TIP,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
TLT,iShares 20+ Year Treasury Bond,20.00%,1.00,1 TLT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
USMV,iShares MSCI USA Min Vol Facto,20.00%,1.00,1 USMV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VDE,Vanguard Energy ETF,20.00%,1.00,1 VDE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VEA,Vanguard FTSE Developed Market,20.00%,1.00,1 VEA,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VGT,Vanguard Information Technolog,20.00%,1.00,1 VGT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VHT,Vanguard Health Care ETF,20.00%,1.00,1 VHT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VLUE,iShares MSCI USA Value Factor,20.00%,1.00,1 VLUE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VNQ,Vanguard Real Estate ETF,20.00%,1.00,1 VNQ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VOE,Vanguard Mid-Cap Value ETF,20.00%,1.00,1 VOE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VPL,Vanguard FTSE Pacific ETF,20.00%,1.00,1 VPL,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VT,Vanguard Total World Stock ETF,20.00%,1.00,1 VT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VTI,Vanguard Total Stock Market ET,20.00%,1.00,1 VTI,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VWO,Vanguard FTSE Emerging Markets,20.00%,1.00,1 VWO,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VXF,Vanguard Extended Market ETF,20.00%,1.00,1 VXF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
VXUS,Vanguard Total International S,20.00%,1.00,1 VXUS,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XBI,SPDR S&P Biotech ETF,20.00%,1.00,1 XBI,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XLB,Materials Select Sector SPDR F,20.00%,1.00,1 XLB,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XLC,Communication Services Select,20.00%,1.00,1 XLC,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XLE,Energy Select Sector SPDR Fund,20.00%,1.00,1 XLE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XLF,Financial Select Sector SPDR F,20.00%,1.00,1 XLF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XLI,Industrial Select Sector SPDR,20.00%,1.00,1 XLI,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XLK,Technology Select Sector SPDR,20.00%,1.00,1 XLK,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XLP,Consumer Staples Select Sector,20.00%,1.00,1 XLP,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XLU,Utilities Select Sector SPDR F,20.00%,1.00,1 XLU,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XLV,Health Care Select Sector SPDR,20.00%,1.00,1 XLV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
XLY,Consumer Discretionary Select,20.00%,1.00,1 XLY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,ETFs
